"name","shortDescription","city","country","websiteUrl","email","isPhysicalStore","isWebshop"
"Hajar Paleis Utrecht","Abayas · takchita · khimars en accessoires. Zusterwinkel van de Amsterdamse vestiging aan de Kanaalstraat Utrecht.","Utrecht","NL","https://www.hajarpaleis.nl","info@hajarpaleis.nl","true","true"
"L'amira Boutique Eindhoven","Hijab fashion met abayas · hoofddoeken en islamitische boeken. Gelegen naast het Beursgebouw in Eindhoven.","Eindhoven","NL","https://www.lamiraboutique.nl","info@lamiraboutique.nl","true","true"
"Halaal Style","Islamitische kleding voor de hele familie met unieke modest designs. Actief in Tilburg en heel Nederland sinds 2019.","Tilburg","NL","https://www.halaalstyle.nl","info@halaalstyle.nl","false","true"
"Annurlaila","Khimars · jilbabs · gebedskleding en accessoires. Levering in heel Nederland vanuit de regio Tilburg-Waalwijk.","Tilburg","NL","https://www.annurlaila.nl","info@annurlaila.nl","false","true"
"Muslima Musthaves","Islamitische modest fashion voor vrouwen in Almere. Gratis verzending vanaf €70 en verzending op dezelfde dag.","Almere","NL","https://www.muslimamusthaves.com","info@muslimamusthaves.com","true","true"
"Caftan Factory Schaarbeek","Werelds grootste Arabisch modemerk. Caftans en traditionele Noord-Afrikaanse vrouwenkleding in Schaarbeek Brussel.","Brussel","BE","https://caftanfactory.com","info@caftanfactory.com","true","false"
"Caftan Factory Molenbeek","Caftans · jellabas en traditionele islamitische damesmode. Vestiging van Caftan Factory in Molenbeek Brussel.","Brussel","BE","https://caftanfactory.com","info@caftanfactory.com","true","false"
"Al-Imen","Islamitische boeken- en kledingwinkel actief sinds 1982. Boeken · kleding · parfums en wellness in centrum Brussel.","Brussel","BE","https://al-imen.com","info@al-imen.com","true","true"
"Librairie Salam","Al meer dan 10 jaar in Brussel. Islamitische boeken · sjaals · Qaba'il kleding en El Nabil parfums.","Brussel","BE","https://librairie-salam.com","info@librairie-salam.com","true","true"
"Safwa Boutique","Hijabs · khimars en sjaals met snelle levering door heel België. Ruime keuze in kleuren en materialen.","","BE","https://www.safwaboutique.com","info@safwaboutique.com","false","true"
"Islamwinkel.be","Belgische islamitische webshop met hijabs · jilbabs · abayas en gebedskleding. Verzending naar heel België en Nederland.","","BE","https://islamwinkel.be","info@islamwinkel.be","false","true"
"Islamshop.be","Belgische islamitische shop met afhaalopties en gratis verzending vanaf €40. Breed assortiment islamitische producten.","","BE","https://islamshop.be","info@islamshop.be","false","true"
"Merrachi Antwerpen","Flagshipstore van 300 m² op 2 verdiepingen van het bekende Nederlands-Marokkaanse modest fashion merk. Geopend in 2024.","Antwerpen","BE","https://bymerrachi.com","info@bymerrachi.com","true","true"
"Caftan Factory Antwerpen","Antwerpse vestiging van de grootste Noord-Afrikaanse modegroep. Caftans · jellabas en traditionele dameskleding.","Antwerpen","BE","https://caftanfactory.com","info@caftanfactory.com","true","false"
"MyScarf Antwerp","Premium hijabs en Emirati abayas. Een van de populairste hijabwinkels van Antwerpen aan de Abdijstraat.","Antwerpen","BE","https://myscarfantwerp.com","info@myscarfantwerp.com","true","true"
"Royaume de la Femme","Modest fashion · Ramadan- en Eid-decoratie en geschenken. Boetiek aan de bekende Abdijstraat in Antwerpen.","Antwerpen","BE","","","true","false"
"Noureen Modest Fashion","Belgisch modest fashion merk met jassen · twinsets · hijabs en hoodies. Fysieke winkel aan de Abdijstraat Antwerpen.","Antwerpen","BE","https://noureenmodestfashion.com","info@noureenmodestfashion.com","true","true"
"By Sutrah","Stijlvolle islamitische damesmode die traditionele elementen combineert met modern design. Winkel in Antwerpen.","Antwerpen","BE","https://www.bysutrah.nl","info@bysutrah.nl","true","true"
"Israya Store","N°1 Marokkaanse kaftan boutique in België. Kaftans · jellabas en feestkleding voor bijzondere gelegenheden.","Antwerpen","BE","https://israyastore.com","info@israyastore.com","true","true"
"Zardozi","Handgeborduurde Indiase sari's · Marokkaanse trouwjurken en kaftans. Unieke ambachtelijke stukken in Antwerpen.","Antwerpen","BE","","","true","false"
"Hadiethshop Antwerpen","Islamitische boeken · Eid-decoratie · kleding en geschenken. Franchise geopend in 2022 in Borgerhout Antwerpen.","Antwerpen","BE","https://hadiethshop.nl","info@hadiethshop.nl","true","true"
"Islamhanout","Fysieke winkel in Genk met islamitische boeken · kleding · kruiden · specerijen en geschenken voor de hele familie.","Genk","BE","https://www.islamhanout.be","info@islamhanout.be","true","true"
"Modesva","Boetiek in Genk met twinsets · hijabs · abayas en modest dameskleding voor de hedendaagse moslimvrouw.","Genk","BE","https://www.modesva.com","info@modesva.com","true","true"
"Libasi","Hoogwaardige modest kleding voor moslimvrouwen. Traditionele jurken · abayas en burkinis. Levering in heel Nederland.","","NL","https://libasi.nl","info@libasi.nl","false","true"
"CityAbaya","Abayas · hijabs en khimars voor vrouwen en mannen. Ruim online aanbod met snelle verzending in Nederland.","","NL","https://www.cityabaya.nl","info@cityabaya.nl","false","true"
"Boutique Mani","Islamitische dameskleding met een breed assortiment abayas. Moderne stijlen gecombineerd met bescheidenheid.","","NL","https://boutiquemani.nl","info@boutiquemani.nl","false","true"
"Aboe Safiya","Islamitische kleding voor mannen: qamis · djellaba en halal zwemkleding. Kwaliteitsproducten voor de Nederlandse moslim.","","NL","https://aboesafiya.nl","info@aboesafiya.nl","false","true"
"Zaynah The Brand","Modest fashion merk uit Nederland met eigentijdse ontwerpen voor de moderne moslimvrouw.","","NL","https://www.zaynahthebrand.com","info@zaynahthebrand.com","false","true"
"Precious Ukht","Modest islamitische fashion. Hijabs · abayas en vrouwenkleding met de slogan We got you covered.","","NL","https://preciousukht.com","info@preciousukht.com","false","true"
"UsW Modest Fashion","Unieke designs van abayas · jilbabs en khimars. Modest fashion met een eigen stijl voor de Nederlandse moslimvrouw.","","NL","https://usw-modestfashion.com","info@usw-modestfashion.com","false","true"
"Mariam's Collection","Abayas · hijabs en modest fashion voor de Nederlandse moslimvrouw. Ruime collectie en scherpe prijzen online.","","NL","https://mariam-col.com","info@mariam-col.com","false","true"
"ModestScarfs","Hijabs · abayas en khimars. Grote keuze in stoffen en kleuren voor elke gelegenheid in Nederland.","","NL","https://www.modestscarfs.com","info@modestscarfs.com","false","true"
"Abayawinkel.nl","Abayas · hijabs · islamitische kleding en hoofddoeken. Gespecialiseerde online abaya-winkel voor Nederland.","","NL","https://abayawinkel.nl","info@abayawinkel.nl","false","true"
"Mina Mode Collection","Modest fashion webshop met een eigentijds aanbod islamitische kleding voor de Nederlandse moslimvrouw.","","NL","https://mina-mode.com","info@mina-mode.com","false","true"
"HijabHeela","Khimars · hoofddoeken en abayas. Kwaliteitsproducten voor de bewuste moslimvrouw in Nederland.","","NL","https://www.hijabheela.nl","info@hijabheela.nl","false","true"
"Sounnah Store","Jilbab · qamis · sarouel en abayas voor mannen en vrouwen. Levering in Nederland en België.","","NL","https://sounnahstore.com","info@sounnahstore.com","false","true"
"Al Minara","Belgische islamitische webshop met een aanbod van boeken en producten waaronder islamitische kleding.","","BE","https://alminarashop.be","info@alminarashop.be","false","true"
"HijabFactory","Breed aanbod moslimkleding en modest fashion. Levering in België en Europa.","","BE","https://hijabfactory.com","info@hijabfactory.com","false","true"
